VideoName,Method Name,Frame number,N,Total detections ,Failed detections,failed percent,False detections,false percent,Species,Contrast,Animal Size ,Area,Height ,Narea,step size
10MarchMor_01_2,Segmentation,1,100,90,12,0.12,2,0.0222222222,Blackbuck,1.5,14,215357,40,134.598125,500
10MarchMor_01_2,Segmentation,2,91,58,33,0.3626373626,0,0,Blackbuck,1.5,14,269077,40,168.173125,500
10MarchMor_01_2,Segmentation,3,75,56,26,0.3466666667,7,0.125,Blackbuck,1.5,14,327436,40,204.6475,500
10MarchMor_01_2,Segmentation,4,75,70,18,0.24,13,0.1857142857,Blackbuck,1.5,14,333208,40,208.255,500
10MarchMor_01_2,Segmentation,5,81,68,26,0.3209876543,13,0.1911764706,Blackbuck,1.5,14,420854,40,263.03375,500
10MarchMor_01_2,Segmentation,6,79,78,28,0.3544303797,27,0.3461538462,Blackbuck,1.5,14,373022,40,233.13875,500
10MarchMor_01_2,Segmentation,7,84,79,18,0.2142857143,13,0.164556962,Blackbuck,1.5,14,415966,40,259.97875,500
10MarchMor_01_2,Segmentation,8,83,54,38,0.4578313253,9,0.1666666667,Blackbuck,1.5,14,450795,40,281.746875,500
10MarchMor_01_2,Segmentation,9,82,70,29,0.3536585366,17,0.2428571429,Blackbuck,1.5,14,476048,40,297.53,500
10MarchMor_01_3,Segmentation,10,88,81,21,0.2386363636,14,0.1728395062,Blackbuck,1.5,14,518706,40,324.19125,500
10MarchMor_01_3,Segmentation,11,80,81,20,0.25,21,0.2592592593,Blackbuck,1.5,14,571388,40,357.1175,500
10MarchMor_01_3,Segmentation,12,77,75,22,0.2857142857,20,0.2666666667,Blackbuck,1.5,14,638652,40,399.1575,500
10MarchMor_01_3,Segmentation,13,85,88,18,0.2117647059,21,0.2386363636,Blackbuck,1.5,14,574292,40,358.9325,500
10MarchMor_01_3,Segmentation,14,77,86,11,0.1428571429,20,0.2325581395,Blackbuck,1.5,14,538988,40,336.8675,500
10MarchMor_01_3,Segmentation,15,81,79,25,0.3086419753,23,0.2911392405,Blackbuck,1.5,14,717243,40,448.276875,500
10MarchMor_01_3,Segmentation,16,86,80,23,0.2674418605,17,0.2125,Blackbuck,1.5,14,49857,40,31.160625,500
10MarchMor_01_3,Segmentation,17,77,95,7,0.0909090909,25,0.2631578947,Blackbuck,1.5,14,491125,40,306.953125,500
10MarchMor_01_4,Segmentation,18,70,106,7,0.1,43,0.4056603774,Blackbuck,1.5,14,553141,40,345.713125,500
10MarchMor_01_4,Segmentation,19,66,52,22,0.3333333333,8,0.1538461538,Blackbuck,1.5,14,516982,40,323.11375,500
10MarchMor_01_4,Segmentation,20,76,82,16,0.2105263158,22,0.2682926829,Blackbuck,1.5,14,636928,40,398.08,500
10MarchMor_01_4,Segmentation,21,74,100,13,0.1756756757,39,0.39,Blackbuck,1.5,14,561577,40,350.985625,500
10MarchMor_01_4,Segmentation,22,85,103,11,0.1294117647,29,0.2815533981,Blackbuck,1.5,14,595523,40,372.201875,500
10MarchMor_01_4,Segmentation,23,83,114,5,0.0602409639,36,0.3157894737,Blackbuck,1.5,14,720910,40,450.56875,500
MVI_0047.MOV,Segmentation,1,55,46,34,0.6181818182,25,0.5434782609,Fish,0.4016393443,10,42588,,,500
MVI_0047.MOV,Segmentation,2,56,60,35,0.625,39,0.65,Fish,0.543,9,40255,,,500
MVI_0047.MOV,Segmentation,3,53,57,29,0.5471698113,33,0.5789473684,Fish,0.689,9,44036,,,500
MVI_0047.MOV,Segmentation,4,57,64,29,0.5087719298,36,0.5625,Fish,0.761,8,60630,,,500
MVI_0047.MOV,Segmentation,5,59,56,36,0.6101694915,33,0.5892857143,Fish,0.539,7,55037,,,500
MVI_0047.MOV,Segmentation,6,49,50,32,0.6530612245,33,0.66,Fish,0.461,6,45864,,,500
MVI_0047.MOV,Segmentation,7,53,56,33,0.6226415094,36,0.6428571429,Fish,0.543,7,44531,,,500
MVI_0047.MOV,Segmentation,8,52,55,32,0.6153846154,35,0.6363636364,Fish,0.429,6,44197,,,500
MVI_0047.MOV,Segmentation,9,59,56,31,0.5254237288,28,0.5,Fish,0.526,7,43087,,,500
