VideoName,Video Name (original),Species,Method Name,Frame original num,Frame number,Total keyP,N visible,Failed detections,failed percent,False detections,false percent,Total Error,Not Included in Detections,FalseKeyP,Contrast (Fg/BG),ANN,Movement,Boundary
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,1,500,90,100,12,0.12,2,0.0222222222,0.1220402686,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,2,1000,58,91,33,0.3626373626,0,0,0.3626373626,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,3,1500,56,75,26,0.3466666667,7,0.125,0.3685142844,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,4,2000,70,75,18,0.24,13,0.1857142857,0.3034630058,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,5,2500,68,81,26,0.3209876543,13,0.1911764706,0.3736060989,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,6,3000,78,79,28,0.3544303797,27,0.3461538462,0.4954224251,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,7,3500,79,84,18,0.2142857143,13,0.164556962,0.2701802382,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,8,4000,54,83,38,0.4578313253,9,0.1666666667,0.487224076,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,9,4500,70,82,29,0.3536585366,17,0.2428571429,0.4290150957,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,10,5000,81,88,21,0.2386363636,14,0.1728395062,0.2946537102,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,11,5500,81,80,20,0.25,21,0.2592592593,0.3601601915,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,12,6000,75,77,22,0.2857142857,20,0.2666666667,0.3908244672,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,13,6500,88,85,18,0.2117647059,21,0.2386363636,0.3190479661,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,14,7000,86,77,11,0.1428571429,20,0.2325581395,0.2729312212,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,15,7500,79,81,25,0.3086419753,23,0.2911392405,0.4242899083,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,16,8000,80,86,23,0.2674418605,17,0.2125,0.3415865904,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,17,8500,95,77,7,0.0909090909,25,0.2631578947,0.2784179239,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,18,9000,106,70,7,0.1,43,0.4056603774,0.4178041907,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,19,9500,52,66,22,0.3333333333,8,0.1538461538,0.367123617,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,20,10000,82,76,16,0.2105263158,22,0.2682926829,0.3410312205,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,21,10500,100,74,13,0.1756756757,39,0.39,0.427740509,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,22,11000,103,85,11,0.1294117647,29,0.2815533981,0.3098704904,,,,,,
10MarchMor01,10MarchMor01,Blackbuck,Segmentation,23,11500,114,83,5,0.0602409639,36,0.3157894737,0.3214840049,,,,,,
MVI_0047,MVI_0047,Fish,Segmentation,1,500,46,55,34,0.6181818182,25,0.5434782609,0.8231144394,,,,,,0
MVI_0047,MVI_0047,Fish,Segmentation,2,1000,60,56,35,0.625,39,0.65,0.9017344398,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,3,1500,57,53,29,0.5471698113,33,0.5789473684,0.7966020699,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,4,2000,64,57,29,0.5087719298,36,0.5625,0.7584557512,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,5,2500,56,59,36,0.6101694915,33,0.5892857143,0.848271455,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,6,3000,50,49,32,0.6530612245,33,0.66,0.9284874598,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,7,3500,56,53,33,0.6226415094,36,0.6428571429,0.8949568456,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,8,4000,55,52,32,0.6153846154,35,0.6363636364,0.8852439791,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,9,4500,56,59,31,0.5254237288,28,0.5,0.725306897,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,10,5000,52,52,28,0.5384615385,28,0.5384615385,0.7614996106,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,11,5500,62,55,29,0.5272727273,36,0.5806451613,0.784324762,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,12,6000,63,53,27,0.5094339623,37,0.5873015873,0.7774613279,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,13,6500,77,57,23,0.4035087719,43,0.5584415584,0.6889675632,,,,,,0
MVI_0047,MVI_0047,Fish,Segmentation,14,7000,110,56,22,0.3928571429,76,0.6909090909,0.7947906055,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,15,7500,69,48,25,0.5208333333,46,0.6666666667,0.845997521,,,,,,1
MVI_0047,MVI_0047,Fish,Segmentation,16,8000,72,55,26,0.4727272727,43,0.5972222222,0.7616728018,,,,,,0
MVI_0047,MVI_0047,Fish,Segmentation,17,8500,69,55,22,0.4,36,0.5217391304,0.6574281103,,,,,,0
MVI_0047,MVI_0047,Fish,Segmentation,18,9000,68,55,26,0.4727272727,39,0.5735294118,0.7432409169,,,,,,1
