VideoName,Frame_Number,Contrast,ANN,Movement
01MarchEve04,1500,NA,NA,NA
01MarchEve04,8500,NA,NA,NA
01MarchEve04,9500,NA,NA,NA
01MarchEve04,11500,NA,NA,NA
01MarchEve04,13000,NA,NA,NA
01MarchEve04,16000,NA,NA,NA
02MarchMor01,2000,NA,NA,NA
02MarchMor01,2500,NA,NA,NA
02MarchMor01,3500,NA,NA,NA
02MarchMor01,5500,NA,NA,NA
02MarchMor01,6500,NA,NA,NA
02MarchMor01,7500,NA,NA,NA
02MarchMor01,9500,NA,NA,NA
02MarchMor01,12000,NA,NA,NA
02MarchMor01,13000,NA,NA,NA
02MarchMor01,15000,NA,NA,NA
03MarchMor0304,3500,NA,NA,NA
03MarchMor0304,5000,NA,NA,NA
03MarchMor0304,5500,NA,NA,NA
03MarchMor0304,9500,NA,NA,NA
03MarchMor0304,13500,NA,NA,NA
03MarchMor0304,15000,NA,NA,NA
03MarchMor0304,15500,NA,NA,NA
04MarchMor04,3000,NA,NA,NA
04MarchMor04,5000,NA,NA,NA
04MarchMor04,6000,NA,NA,NA
04MarchMor04,6500,NA,NA,NA
04MarchMor04,7000,NA,NA,NA
04MarchMor04,8000,NA,NA,NA
04MarchMor04,9500,NA,NA,NA
04MarchMor04,11000,NA,NA,NA
04MarchMor04,12000,NA,NA,NA
04MarchMor04,13000,NA,NA,NA
04MarchMor04,13500,NA,NA,NA
04MarchMor04,14000,NA,NA,NA
10MarchMor01,6000,NA,NA,NA
10MarchMor01,8000,NA,NA,NA
10MarchMor01,15000,NA,NA,NA
16MarchMor0506,500,NA,NA,NA
16MarchMor0506,1500,NA,NA,NA
16MarchMor0506,2000,NA,NA,NA
16MarchMor0506,3000,NA,NA,NA
16MarchMor0506,3500,NA,NA,NA
16MarchMor0506,4500,NA,NA,NA
16MarchMor0506,5000,NA,NA,NA
16MarchMor0506,5500,NA,NA,NA
16MarchMor0506,6500,NA,NA,NA
16MarchMor0506,7500,NA,NA,NA
16MarchMor0506,8000,NA,NA,NA
16MarchMor0506,10000,NA,NA,NA
16MarchMor0506,12000,NA,NA,NA
16MarchMor0506,12500,NA,NA,NA
16MarchMor0506,13000,NA,NA,NA
16MarchMor0506,13500,NA,NA,NA
16MarchMor0506,14500,NA,NA,NA
17MarchMor0506,500,NA,NA,NA
17MarchMor0506,1000,NA,NA,NA
17MarchMor0506,2000,NA,NA,NA
17MarchMor0506,2500,NA,NA,NA
17MarchMor0506,4500,NA,NA,NA
17MarchMor0506,5000,NA,NA,NA
17MarchMor0506,6000,NA,NA,NA
17MarchMor0506,7000,NA,NA,NA
17MarchMor0506,7500,NA,NA,NA
17MarchMor0506,9000,NA,NA,NA
17MarchMor0506,10500,NA,NA,NA
17MarchMor0506,11500,NA,NA,NA
17MarchMor0506,14500,NA,NA,NA
25MarchEve0102,500,NA,NA,NA
25MarchEve0102,1000,NA,NA,NA
25MarchEve0102,3500,NA,NA,NA
25MarchEve0102,4000,NA,NA,NA
25MarchEve0102,4500,NA,NA,NA
25MarchEve0102,6500,NA,NA,NA
25MarchEve0102,7000,NA,NA,NA
25MarchEve0102,8500,NA,NA,NA
25MarchEve0102,10000,NA,NA,NA
25MarchEve0102,10500,NA,NA,NA
25MarchEve0506,2000,NA,NA,NA
25MarchEve0506,3000,NA,NA,NA
25MarchEve0506,4000,NA,NA,NA
25MarchEve0506,4500,NA,NA,NA
25MarchEve0506,5500,NA,NA,NA
25MarchEve0506,6500,NA,NA,NA
25MarchEve0506,7500,NA,NA,NA
25MarchEve0506,8000,NA,NA,NA
25MarchEve0506,9000,NA,NA,NA
25MarchEve0506,10000,NA,NA,NA
25MarchEve0506,11500,NA,NA,NA
25MarchEve0506,12500,NA,NA,NA
25MarchEve0506,13500,NA,NA,NA
26MarchEve0102,2000,NA,NA,NA
26MarchEve0102,3000,NA,NA,NA
26MarchEve0102,4000,NA,NA,NA
26MarchEve0102,4500,NA,NA,NA
26MarchEve0102,8500,NA,NA,NA
26MarchEve0102,10000,NA,NA,NA
26MarchEve0102,11000,NA,NA,NA
26MarchEve0102,15500,NA,NA,NA
MVI_0047,1500,NA,NA,NA
MVI_0047,5000,NA,NA,NA
MVI_0047,6100,NA,NA,NA
MVI_0047,8000,NA,NA,NA
MVI_0047,11500,NA,NA,NA
MVI_0047,12500,NA,NA,NA
MVI_0047,16000,NA,NA,NA
MVI_0047,16500,NA,NA,NA
MVI_0047,17000,NA,NA,NA
MVI_0047,17100,NA,NA,NA
MVI_0047,17800,NA,NA,NA
MVI_0047,18300,NA,NA,NA
MVI_0048,500,NA,NA,NA
MVI_0048,1500,NA,NA,NA
MVI_0048,3500,NA,NA,NA
MVI_0048,6500,NA,NA,NA
MVI_0048,7000,NA,NA,NA
MVI_0048,9000,NA,NA,NA
MVI_0048,10500,NA,NA,NA
MVI_0048,12000,NA,NA,NA
MVI_0048,12500,NA,NA,NA
MVI_0048,16000,NA,NA,NA
MVI_0048,17500,NA,NA,NA
MVI_0049,500,NA,NA,NA
MVI_0049,1500,NA,NA,NA
MVI_0049,5500,NA,NA,NA
MVI_0049,6000,NA,NA,NA
MVI_0049,6500,NA,NA,NA
MVI_0049,7500,NA,NA,NA
MVI_0049,8000,NA,NA,NA
MVI_0049,8500,NA,NA,NA
MVI_0049,13500,NA,NA,NA
