"","VideoName","Video.Name..original.","Species","Method.Name","Frame.original.num","Frame.number","Total.keyP","N.visible","Failed.detections","failed.percent","False.detections","false.percent","Total.Error","Not.Included.in.Detections","FalseKeyP","Contrast..Fg.BG.","ANN","Movement","Boundary"
"1552","04MarchMor04","04MarchMor04","Blackbuck","NN",13,6500,8,8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"1717","26MarchEve0102","26MarchEve02","Blackbuck","NN",22,11000,45,42,2,0.0476190476,0,0,0.0476190476,2,NA,NA,NA,NA,NA
"1895","MVI_0132","MVI_0132","Fish","NN",8000,8000,55,60,4,0.0666666667,0,0,0.0666666667,4,5,NA,NA,NA,0
"1871","MVI_0131","MVI_0131","Fish","NN",10500,10500,54,60,5,0.0833333333,0,0,0.0833333333,5,5,NA,NA,NA,0
"1982","MVI_0134","MVI_0134","Fish","NN",5300,5300,53,60,6,0.1,0,0,0.1,6,13,NA,NA,NA,0
"1891","MVI_0132","MVI_0132","Fish","NN",5500,5500,52,60,7,0.1166666667,0,0,0.1166666667,7,4,NA,NA,NA,0
"1610","16MarchMor0506","16MarchMor05","Blackbuck","NN",7,3500,37,38,5,0.1315789474,0,0,0.1315789474,0,NA,NA,NA,NA,NA
"1604","16MarchMor0506","16MarchMor05","Blackbuck","NN",1,500,34,37,5,0.1351351351,0,0,0.1351351351,0,NA,NA,NA,NA,NA
"1638","17MarchMor0506","17MArchMor05","Blackbuck","NN",2,1000,27,27,4,0.1481481481,0,0,0.1481481481,0,NA,NA,NA,NA,NA
"1901","MVI_0132","MVI_0132","Fish","NN",16500,16500,51,60,9,0.15,0,0,0.15,9,4,NA,NA,NA,0
"1650","17MarchMor0506","17MArchMor05","Blackbuck","NN",14,7000,27,24,4,0.1666666667,0,0,0.1666666667,0,NA,NA,NA,NA,NA
"1651","17MarchMor0506","17MArchMor05","Blackbuck","NN",15,7500,27,23,4,0.1739130435,0,0,0.1739130435,0,NA,NA,NA,NA,NA
"1691","25MarchEve0506","25MarchEve05","Blackbuck","NN",23,11500,35,35,7,0.2,0,0,0.2,0,NA,NA,NA,NA,NA
"1686","25MarchEve0506","25MarchEve05","Blackbuck","NN",18,9000,30,36,8,0.2222222222,0,0,0.2222222222,0,NA,NA,NA,NA,NA
"1684","25MarchEve0506","25MarchEve05","Blackbuck","NN",16,8000,29,35,9,0.2571428571,0,0,0.2571428571,0,NA,NA,NA,NA,NA
"1693","25MarchEve0506","25MarchEve05","Blackbuck","NN",25,12500,25,35,16,0.4571428571,0,0,0.4571428571,0,NA,NA,NA,NA,NA
"1983","MVI_0134","MVI_0134","Fish","NN",8900,8900,56,60,5,0.0833333333,1,0.0178571429,0.0852251254,5,14,NA,NA,NA,0
"1681","25MarchEve0506","25MarchEve05","Blackbuck","NN",13,6500,50,34,2,0.0588235294,1,0.02,0.0621305691,1,NA,NA,NA,NA,NA
"1764","MVI_0047","MVI_0047","Fish","NN",6100,6100,45,60,13,0.2166666667,1,0.0222222222,0.2178032865,NA,NA,NA,NA,NA,0
"1612","16MarchMor0506","16MarchMor05","Blackbuck","NN",9,4500,38,37,4,0.1081081081,1,0.0263157895,0.1112649263,1,NA,NA,NA,NA,NA
"1742","25MarchEve0102","25MarchEve01","Blackbuck","NN",17,8500,36,25,2,0.08,1,0.0277777778,0.084685329,2,NA,NA,NA,NA,NA
"1777","MVI_0047","MVI_0047","Fish","NN",17800,17800,61,60,2,0.0333333333,2,0.0327868852,0.0467556515,NA,NA,NA,NA,NA,0
"1787","MVI_0048","MVI_0048","Fish","NN",500,500,57,60,5,0.0833333333,2,0.0350877193,0.090418983,NA,NA,NA,NA,NA,0
"1771","MVI_0047","MVI_0047","Fish","NN",17100,17100,55,60,7,0.1166666667,2,0.0363636364,0.1222023943,NA,NA,NA,NA,NA,0
"1739","25MarchEve0102","25MarchEve01","Blackbuck","NN",14,7000,26,23,2,0.0869565217,1,0.0384615385,0.0950827356,2,NA,NA,NA,NA,NA
"1810","MVI_0048","MVI_0048","Fish","NN",12000,12000,50,60,11,0.1833333333,2,0.04,0.1876462392,NA,NA,NA,NA,NA,0
"1654","17MarchMor0506","17MArchMor05","Blackbuck","NN",18,9000,23,24,4,0.1666666667,1,0.0434782609,0.1722444105,1,NA,NA,NA,NA,NA
"1637","17MarchMor0506","17MArchMor05","Blackbuck","NN",1,500,21,22,3,0.1363636364,1,0.0476190476,0.1444389664,1,NA,NA,NA,NA,NA
"1800","MVI_0048","MVI_0048","Fish","NN",7000,7000,59,60,3,0.05,3,0.0508474576,0.0713124389,NA,NA,NA,NA,NA,0
"1782","MVI_0047","MVI_0047","Fish","NN",18300,18300,57,60,4,0.0666666667,3,0.0526315789,0.084938375,NA,NA,NA,NA,NA,0
"1646","17MarchMor0506","17MArchMor05","Blackbuck","NN",10,5000,19,23,6,0.2608695652,1,0.0526315789,0.2661259347,1,NA,NA,NA,NA,NA
"1845","MVI_0049","MVI_0049","Fish","NN",13500,13500,55,60,8,0.1333333333,3,0.0545454545,0.1440589615,8,5,NA,NA,NA,0
"2620","v82_003","v82_003","Wasp","NN",1500,1500,122,13,0,0,7,0.0573770492,0.0573770492,NA,NA,NA,NA,NA,NA
"1829","MVI_0049","MVI_0049","Fish","NN",5500,5500,51,60,10,0.1666666667,3,0.0588235294,0.1767427096,10,NA,NA,NA,NA,0
"2619","v82_003","v82_003","Wasp","NN",1000,1000,148,13,0,0,9,0.0608108108,0.0608108108,NA,NA,NA,NA,NA,NA
