"","VideoName","Video.Name..original.","Species","Method.Name","Frame.original.num","Frame.number","Total.keyP","N.visible","Failed.detections","failed.percent","False.detections","false.percent","Total.Error","Not.Included.in.Detections","FalseKeyP","Contrast..Fg.BG.","ANN","Movement","Boundary"
"2323","v82_001","v82_001","Wasp","Segmentation",14501,14500,48,12,0,0,NA,0,0,NA,NA,NA,NA,NA,NA
"2269","v99_0005","v99_0005","Wasp","Segmentation",4001,4000,22,15,3,0.2,0,0,0.2,NA,NA,NA,NA,NA,NA
"480","17MarchMor0506","17MArchMor05","Blackbuck","Segmentation",9,4500,13,21,8,0.380952381,0,0,0.380952381,NA,NA,NA,NA,NA,NA
"492","17MarchMor0506","17MArchMor05","Blackbuck","Segmentation",21,10500,9,21,12,0.5714285714,0,0,0.5714285714,NA,NA,NA,NA,NA,NA
"456","04MarchMor04","04MarchMor04","Blackbuck","Segmentation",16,8000,3,11,8,0.7272727273,0,0,0.7272727273,NA,NA,NA,NA,NA,NA
"646","25MarchEve0506","25MarchEve05","Blackbuck","Segmentation",27,13500,7,34,27,0.7941176471,0,0,0.7941176471,NA,NA,NA,NA,NA,NA
"426","03MarchMor0304","03MarchMor03","Blackbuck","Segmentation",19,9500,9,58,49,0.8448275862,0,0,0.8448275862,NA,NA,NA,NA,NA,NA
"454","04MarchMor04","04MarchMor04","Blackbuck","Segmentation",14,7000,1,8,7,0.875,0,0,0.875,NA,NA,NA,NA,NA,NA
"639","25MarchEve0506","25MarchEve05","Blackbuck","Segmentation",20,10000,2,34,32,0.9411764706,0,0,0.9411764706,NA,NA,NA,NA,NA,NA
"2270","v99_0005","v99_0005","Wasp","Segmentation",4501,4500,49,17,1,0.0588235294,1,0.0204081633,0.0622631572,NA,NA,NA,NA,NA,NA
"2283","v99_0005","v99_0005","Wasp","Segmentation",13001,13000,36,19,1,0.0526315789,1,0.0277777778,0.0595120831,NA,NA,NA,NA,NA,NA
"2467","v57_0011","v57_0011","Wasp","Segmentation",8501,8500,59,10,0,0,2,0.0338983051,0.0338983051,NA,NA,NA,NA,NA,NA
"2285","v99_0005","v99_0005","Wasp","Segmentation",14001,14000,25,20,4,0.2,1,0.04,0.2039607805,NA,NA,NA,NA,NA,NA
"2443","v57_0010","v57_0010","Wasp","Segmentation",11501,11500,44,8,0,0,2,0.0454545455,0.0454545455,NA,NA,NA,NA,NA,NA
"2478","v57_0011","v57_0011","Wasp","Segmentation",14001,14000,58,10,0,0,3,0.0517241379,0.0517241379,NA,NA,NA,NA,NA,NA
"473","17MarchMor0506","17MArchMor05","Blackbuck","Segmentation",2,1000,18,22,5,0.2272727273,1,0.0555555556,0.2339643399,NA,NA,NA,NA,NA,NA
"2490","v57_0012","v57_0012","Wasp","Segmentation",4001,4000,51,9,0,0,3,0.0588235294,0.0588235294,NA,NA,NA,NA,NA,NA
"2440","v57_0010","v57_0010","Wasp","Segmentation",10001,10000,49,9,0,0,3,0.0612244898,0.0612244898,NA,NA,NA,NA,NA,NA
"2500","v57_0012","v57_0012","Wasp","Segmentation",9501,9500,61,10,0,0,4,0.0655737705,0.0655737705,NA,NA,NA,NA,NA,NA
"2481","v57_0011","v57_0011","Wasp","Segmentation",15501,15500,56,10,0,0,4,0.0714285714,0.0714285714,NA,NA,NA,NA,NA,NA
"388","02MarchMor01","02MarchMor01","Blackbuck","Segmentation",13,6500,134,142,18,0.1267605634,10,0.0746268657,0.1470965993,NA,NA,NA,NA,NA,NA
"2461","v57_0011","v57_0011","Wasp","Segmentation",5501,5500,52,10,0,0,4,0.0769230769,0.0769230769,NA,NA,NA,NA,NA,NA
"390","02MarchMor01","02MarchMor01","Blackbuck","Segmentation",15,7500,113,123,19,0.1544715447,9,0.0796460177,0.1737957026,NA,NA,NA,NA,NA,NA
"2494","v57_0012","v57_0012","Wasp","Segmentation",6501,6500,49,9,0,0,4,0.0816326531,0.0816326531,NA,NA,NA,NA,NA,NA
"494","17MarchMor0506","17MArchMor05","Blackbuck","Segmentation",23,11500,12,20,9,0.45,1,0.0833333333,0.4576510073,NA,NA,NA,NA,NA,NA
"2370","v82_003","v82_003","Wasp","Segmentation",9501,9500,45,14,0,0,4,0.0888888889,0.0888888889,NA,NA,NA,NA,NA,NA
"2429","v57_0010","v57_0010","Wasp","Segmentation",4501,4500,63,9,1,0.1111111111,6,0.0952380952,0.1463419755,NA,NA,NA,NA,NA,NA
"2462","v57_0011","v57_0011","Wasp","Segmentation",6001,6000,50,10,0,0,5,0.1,0.1,NA,NA,NA,NA,NA,NA
"2364","v82_003","v82_003","Wasp","Segmentation",6501,6500,39,12,0,0,4,0.1025641026,0.1025641026,NA,NA,NA,NA,NA,NA
"2369","v82_003","v82_003","Wasp","Segmentation",9001,9000,57,14,0,0,6,0.1052631579,0.1052631579,NA,NA,NA,NA,NA,NA
"2395","v72_003","v72_003","Wasp","Segmentation",5001,5000,46,13,0,0,5,0.1086956522,0.1086956522,NA,NA,NA,NA,NA,NA
"604","25MarchEve0102","25MarchEve02","Blackbuck","Segmentation",7,3500,9,14,6,0.4285714286,1,0.1111111111,0.4427404978,NA,NA,NA,NA,NA,NA
"2363","v82_003","v82_003","Wasp","Segmentation",6001,6000,43,11,0,0,5,0.1162790698,0.1162790698,NA,NA,NA,NA,NA,NA
"651","25MarchEve0506","25MarchEve06","Blackbuck","Segmentation",4,2000,17,31,16,0.5161290323,2,0.1176470588,0.5293675551,NA,NA,NA,NA,NA,NA
"2361","v82_003","v82_003","Wasp","Segmentation",5001,5000,48,11,0,0,6,0.125,0.125,NA,NA,NA,NA,NA,NA
"462","04MarchMor04","04MarchMor04","Blackbuck","Segmentation",22,11000,16,23,9,0.3913043478,2,0.125,0.4107847278,NA,NA,NA,NA,NA,NA
"2422","v57_0010","v57_0010","Wasp","Segmentation",1001,1000,39,9,0,0,5,0.1282051282,0.1282051282,NA,NA,NA,NA,NA,NA
"483","17MarchMor0506","17MArchMor05","Blackbuck","Segmentation",12,6000,15,22,9,0.4090909091,2,0.1333333333,0.4302710189,NA,NA,NA,NA,NA,NA
"394","02MarchMor01","02MarchMor01","Blackbuck","Segmentation",19,9500,114,131,33,0.2519083969,16,0.1403508772,0.2883681833,NA,NA,NA,NA,NA,NA
"464","04MarchMor04","04MarchMor04","Blackbuck","Segmentation",24,12000,14,20,8,0.4,2,0.1428571429,0.4247448214,NA,NA,NA,NA,NA,NA
