"","VideoName","Video.Name..original.","Species","Method.Name","Frame.original.num","Frame.number","Total.keyP","N.visible","Failed.detections","failed.percent","False.detections","false.percent","Total.Error","Not.Included.in.Detections","FalseKeyP","Contrast..Fg.BG.","ANN","Movement","Boundary"
"753","MVI_0047","MVI_0047","Fish","Subtraction",34,17000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"874","MVI_0051","MVI_0051","Fish","Subtraction",9,4500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,0
"907","MVI_0131","MVI_0131","Fish","Subtraction",4,2000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,0
"918","MVI_0131","MVI_0131","Fish","Subtraction",15,7500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,0
"929","MVI_0131","MVI_0131","Fish","Subtraction",26,13000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,0
"943","MVI_0132","MVI_0132","Fish","Subtraction",4,2000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,0
"953","MVI_0132","MVI_0132","Fish","Subtraction",14,7000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"963","MVI_0132","MVI_0132","Fish","Subtraction",24,12000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"976","MVI_0132","MVI_0132","Fish","Subtraction",37,18500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,0
"1002","MVI_0133","MVI_0133","Fish","Subtraction",26,13000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"1018","MVI_0134","MVI_0134","Fish","Subtraction",6,3000,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"1031","MVI_0134","MVI_0134","Fish","Subtraction",19,9500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,0
"1045","MVI_0134","MVI_0134","Fish","Subtraction",33,16500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"1060","MVI_0135","MVI_0135","Fish","Subtraction",11,5500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"1072","MVI_0135","MVI_0135","Fish","Subtraction",23,11500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"1084","MVI_0135","MVI_0135","Fish","Subtraction",35,17500,60,60,0,0,0,0,0,NA,NA,NA,NA,NA,1
"849","MVI_0050","MVI_0050","Fish","Subtraction",20,10000,59,60,1,0.0166666667,0,0,0.0166666667,NA,NA,NA,NA,NA,0
"807","MVI_0049","MVI_0049","Fish","Subtraction",15,7500,58,60,2,0.0333333333,0,0,0.0333333333,NA,NA,NA,NA,NA,0
